name,highway,maxspeed,travel_time,lanes_cleaned,capacity_vph
,motorway,none,61.83111349497204,4,7200
,motorway,"['signals', 'none']",42.545338670706684,3,5400
,motorway_link,none,105.40164702735777,2,3600
,motorway,none,41.80693220666779,3,5400
,motorway_link,,2.159271705773493,2,3600
,secondary,70,0.617818639379009,4,7200
,secondary,70,2.685992801501903,3,5400
,secondary,70,0.617818639379009,4,7200
,secondary,70,25.66600790060034,4,7200
,secondary,60,7.877726877473093,2,3600
,secondary,70,1.8929650604371424,2,3600
,secondary_link,,3.4658430974383294,2,3600
,secondary,"['70', '50']",31.5401403145764,3,5400
,secondary,50,2.4915192613360766,1,1800
,motorway_link,"['60', 'none']",23.009951466232458,3,5400
,motorway,none,16.53328373089409,2,3600
,motorway,none,88.70086239109095,3,5400
Tegernseer Landstraße,residential,50,0.8801805613545419,1,1800
Chiemgaustraße,primary,50,7.512281833501017,2,3600
Tegernseer Landstraße,residential,50,10.040789074048975,1,1800
Tegernseer Landstraße,trunk_link,50,2.4808813969706875,2,3600
McGraw-Graben,trunk,60,76.47434885862666,2,3600
"['Candidstraße', 'Candidtunnel', 'Tegernseer Landstraße']",trunk,"['60', '50']",80.34774382166172,2,3600
Candidstraße,trunk_link,50,29.94224824347415,3,5400
"['Brudermühlstraße', 'Brudermühltunnel']",trunk,60,55.09606024568965,3,5400
"['Brudermühlstraße', 'Brudermühltunnel']",trunk,60,17.926887214622294,2,3600
Brudermühlstraße,trunk_link,50,16.498226716714463,1,1800
Brudermühlstraße,trunk,60,4.4285704235542696,3,5400
Brudermühlstraße,trunk_link,50,21.40037583394919,1,1800
Luise-Kiesselbach-Platz,secondary,50,2.4935652340095937,3,5400
Cimbernstraße,residential,30,12.524988595142517,1,1800
,"['motorway', 'motorway_link']","['60', '50']",65.97523841622392,2,3600
,motorway_link,"['60', '50']",39.426835804043925,2,3600
,motorway_link,50,5.521886731282796,3,5400
,motorway_link,60,6.269385046887985,1,1800
,motorway_link,50,5.521886731282796,3,5400
Am Haag,unclassified,50,10.67476562523118,3,5400
,secondary,50,4.844156665052569,3,5400
Am Haag,unclassified,50,11.877429547469912,1,1800
Am Kirchenhölzl,unclassified,50,14.977545879518567,1,1800
,secondary,50,4.844156665052569,3,5400
,secondary,50,8.051538509451094,3,5400
Lochhamer Straße,tertiary,40,5.258917743077776,2,3600
,tertiary,40,1.2907794750385069,1,1800
Lochhamer Straße,tertiary,30,1.652656811019897,1,1800
Aubinger Straße,residential,30,0.7984777525420548,1,1800
Maria-Eich-Straße,residential,30,5.111270728846203,1,1800
Jahnstraße,residential,30,47.12336241338925,1,1800
Jahnplatz,residential,30,10.478962589802837,1,1800
Maria-Eich-Straße,residential,30,10.106461202399837,1,1800
Maria-Eich-Straße,residential,30,10.027055904213269,1,1800
Sämannstraße,residential,30,15.371153509444012,1,1800
Maria-Eich-Straße,residential,30,36.16635844020055,1,1800
Lenbachstraße,residential,30,1.2019334958687093,1,1800
Asamstraße,residential,30,11.612277700554865,1,1800
Sämannstraße,residential,30,26.899767525084233,1,1800
Sämannstraße,residential,30,15.371153509444012,1,1800
Waldheimstraße,residential,30,7.663640660758753,1,1800
Waldheimstraße,residential,30,30.06751567101341,1,1800
Kravogelstraße,residential,30,13.624660640161842,1,1800
Kravogelstraße,residential,30,44.51370381878172,1,1800
Kravogelstraße,residential,30,13.624660640161842,1,1800
Köferinger Straße,residential,30,15.176551366064508,1,1800
Brunhamstraße,tertiary,50,2.0594150850184425,2,3600
Köferinger Straße,residential,30,13.055536575271054,1,1800
Brunhamstraße,tertiary,50,11.255276088801018,2,3600
,motorway,"['none', '120']",56.34184654876683,2,3600
,motorway_link,120,19.859411119633872,4,7200
,secondary,50,1.9755539886744027,3,5400
Pasinger Straße,secondary,50,2.661143780293742,2,3600
Pasinger Straße,secondary,50,7.7277470889772975,4,7200
Pasinger Straße,secondary,50,1.0550808293047511,4,7200
Lochhamer Straße,tertiary,40,4.3991943242468,1,1800
Pasinger Straße,secondary,50,22.914577673830507,4,7200
Kleinhaderner Weg,"['unclassified', 'residential']",50,9.624782146141854,3,5400
